partner_covid_pin,ccdph_provider,partner_zip,partner_name,partner_street,partner_city,partner_state,partner_clean_street,partner_clean_name,vtrcks_name,vtrcks_provider_number,vtrcks_covid_pin,vtrcks_street,vtrcks_city,vtrcks_zip,vtrcks_state,vtrcks_clean_street,vtrcks_clean_name,icare_name,icare_id,icare_covid_pin,icare_street,icare_city,icare_state,icare_zip,icare_clean_street,icare_clean_name,vfinder_name,vfinder_covid_pin,vfinder_provider_number,vfinder_street,vfinder_city,vfinder_zip,vfinder_state,vfinder_clean_street,vfinder_clean_name,covid_pin,city,street,state,zip,in_icare,in_vfinder,in_vtrcks,name,in_partner,address,lon,lat
V09344,TRUE,60004,MARIANO'S 8501,802 E NORTHWEST HIGHWAY,ARLINGTON HEIGHTS,IL,802 E NORTHWEST HWY,MARIANO'S PHARMACY STORE #8501,MARIANO'S PHARMACY 53100501,40172994,KG1531501,802 E NORTHWEST HIGHWAY,ARLINGTON HEIGHTS,60004,IL,802 E NORTHWEST HWY,MARIANO'S PHARMACY STORE #531501,MARIANO PHARMACY 501,1307799258,V09344,802 E NORTHWEST HWY,ARLINGTON HEIGHTS,IL,60004,802 E NORTHWEST HWY,MARIANO PHARMACY STORE #501,MARIANO'S PHARMACY STORE #501,KG1531501,40172994,802 E NORTHWEST HIGHWAY,ARLINGTON HEIGHTS,60004,IL,802 E NORTHWEST HWY,MARIANO'S PHARMACY STORE #501,KG1531501,ARLINGTON HEIGHTS,802 E NORTHWEST HWY,IL,60004,TRUE,TRUE,TRUE,MARIANO'S PHARMACY STORE #501,TRUE,"802 E NORTHWEST HWY ARLINGTON HEIGHTS, IL 60004",-87.9729871,42.0804331
V09372,TRUE,60016,MARIANO'S 8541,10 E GOLF RD,DES PLAINES,IL,10 E GOLF RD,MARIANO'S PHARMACY STORE #8541,NA,NA,NA,NA,NA,NA,NA,NA,NA,MARIANO PHARMACY 541,1307784423,V09372,10 E GOLF RD,DES PLAINES,IL,60016,10 E GOLF RD,MARIANO PHARMACY STORE #541,NA,NA,NA,NA,NA,NA,NA,NA,NA,V09372,DES PLAINES,10 E GOLF RD,IL,60016,TRUE,FALSE,FALSE,MARIANO PHARMACY STORE #541,TRUE,"10 E GOLF RD DES PLAINES, IL 60016",-87.9201503,42.0505878
V09365,TRUE,60805,MARIANO'S 8530,2559 W 95TH ST,EVERGREEN PARK,IL,2559 W 95TH ST,MARIANO'S PHARMACY STORE #8530,MARIANO'S PHARMACY 53100530,40173019,KG1531530,2559 W 95TH ST,EVERGREEN PARK,60805,IL,2559 W 95TH ST,MARIANO'S PHARMACY STORE #531530,MARIANO PHARMACY 530,1307721015,V09365,2559 W 95TH ST,EVERGREEN PARK,IL,60805,2559 W 95TH ST,MARIANO PHARMACY STORE #530,MARIANO'S PHARMACY STORE #530,KG1531530,40173019,2559 W 95TH ST,EVERGREEN PARK,60805,IL,2559 W 95TH ST,MARIANO'S PHARMACY STORE #530,KG1531530,EVERGREEN PARK,2559 W 95TH ST,IL,60805,TRUE,TRUE,TRUE,MARIANO'S PHARMACY STORE #530,TRUE,"2559 W 95TH ST EVERGREEN PARK, IL 60805",-87.6878691,41.71944310000001
V09347,TRUE,60706,MARIANO'S 8510,7401 W LAWRENCE AVENUE,HARWOOD HEIGHTS,IL,7401 W LAWRENCE AVE,MARIANO'S PHARMACY STORE #8510,MARIANO'S PHARMACY 53100510,40173000,KG1531510,7401 W LAWRENCE AVE,HARWOOD HEIGHTS,60706,IL,7401 W LAWRENCE AVE,MARIANO'S PHARMACY STORE #531510,MARIANO PHARMACY 510,1307655188,V09347,7401 W LAWRENCE AVE,HARWOOD HEIGHTS,IL,60706,7401 W LAWRENCE AVE,MARIANO PHARMACY STORE #510,MARIANO'S PHARMACY STORE #510,KG1531510,40173000,7401 W LAWRENCE AVE,HARWOOD HEIGHTS,60706,IL,7401 W LAWRENCE AVE,MARIANO'S PHARMACY STORE #510,KG1531510,HARWOOD HEIGHTS,7401 W LAWRENCE AVE,IL,60706,TRUE,TRUE,TRUE,MARIANO'S PHARMACY STORE #510,TRUE,"7401 W LAWRENCE AVE HARWOOD HEIGHTS, IL 60706",-87.8127531,41.9653573
V09349,TRUE,60169,MARIANO'S 8506,2575 W GOLF ROAD,HOFFMAN ESTATES,IL,2575 W GOLF RD,MARIANO'S PHARMACY STORE #8506,MARIANO'S PHARMACY 53100506,40172997,KG1531506,2575 W GOLF ROAD,HOFFMAN ESTATES,60169,IL,2575 W GOLF RD,MARIANO'S PHARMACY STORE #531506,MARIANO PHARMACY 506,1307654319,V09349,2575 W GOLF RD,HOFFMAN ESTATES,IL,60169,2575 W GOLF RD,MARIANO PHARMACY STORE #506,MARIANO'S PHARMACY STORE #506,KG1531506,40172997,2575 W GOLF ROAD,HOFFMAN ESTATES,60169,IL,2575 W GOLF RD,MARIANO'S PHARMACY STORE #506,KG1531506,HOFFMAN ESTATES,2575 W GOLF RD,IL,60169,TRUE,TRUE,TRUE,MARIANO'S PHARMACY STORE #506,TRUE,"2575 W GOLF RD HOFFMAN ESTATES, IL 60169",-88.1430159,42.0451202
V09366,TRUE,60062,MARIANO'S 8532,2323 CAPITAL DRIVE,NORTHBROOK,IL,2323 CAPITAL DRIVE,MARIANO'S PHARMACY STORE #8532,MARIANO'S PHARMACY 53100532,40173021,KG1531532,2323 CAPITAL DRIVE,NORTHBROOK,60062,IL,2323 CAPITAL DRIVE,MARIANO'S PHARMACY STORE #531532,NA,NA,NA,NA,NA,NA,NA,NA,NA,MARIANO'S PHARMACY STORE #532,KG1531532,40173021,2323 CAPITAL DRIVE,NORTHBROOK,60062,IL,2323 CAPITAL DRIVE,MARIANO'S PHARMACY STORE #532,KG1531532,NORTHBROOK,2323 CAPITAL DRIVE,IL,60062,FALSE,TRUE,TRUE,MARIANO'S PHARMACY STORE #532,TRUE,"2323 CAPITAL DRIVE NORTHBROOK, IL 60062",-87.87255669999999,42.1110661
V09364,TRUE,60062,MARIANO'S 8533,784 SKOKIE BLVD,NORTHBROOK,IL,784 SKOKIE BLVD,MARIANO'S PHARMACY STORE #8533,MARIANO'S PHARMACY 53100533,40173022,KG1531533,784 SKOKIE BLVD,NORTHBROOK,60062,IL,784 SKOKIE BLVD,MARIANO'S PHARMACY STORE #531533,MARIANO PHARMACY 533,1307721845,V09364,784 SKOKIE BLVD,NORTHBROOK,IL,60062,784 SKOKIE BLVD,MARIANO PHARMACY STORE #533,MARIANO'S PHARMACY STORE #533,KG1531533,40173022,784 SKOKIE BLVD,NORTHBROOK,60062,IL,784 SKOKIE BLVD,MARIANO'S PHARMACY STORE #533,KG1531533,NORTHBROOK,784 SKOKIE BLVD,IL,60062,TRUE,TRUE,TRUE,MARIANO'S PHARMACY STORE #533,TRUE,"784 SKOKIE BLVD NORTHBROOK, IL 60062",-87.79423129999999,42.13966500000001
V09358,TRUE,60093,MARIANO'S 8524,1822 WILLOW ROAD,NORTHFIELD,IL,1822 WILLOW RD,MARIANO'S PHARMACY STORE #8524,MARIANO'S PHARMACY 53100524,40173013,KG1531524,1822 WILLOW RD,NORTHFIELD,60093,IL,1822 WILLOW RD,MARIANO'S PHARMACY STORE #531524,MARIANO PHARMACY 524,1307668198,V09358,1822 WILLOW RD,NORTHFIELD,IL,60093,1822 WILLOW RD,MARIANO PHARMACY STORE #524,MARIANO'S PHARMACY STORE #524,KG1531524,40173013,1822 WILLOW RD,NORTHFIELD,60093,IL,1822 WILLOW RD,MARIANO'S PHARMACY STORE #524,KG1531524,NORTHFIELD,1822 WILLOW RD,IL,60093,TRUE,TRUE,TRUE,MARIANO'S PHARMACY STORE #524,TRUE,"1822 WILLOW RD NORTHFIELD, IL 60093",-87.7712598,42.1000321
V09352,TRUE,60453,MARIANO'S 8517,11000 CICERO AVENUE,OAK LAWN,IL,11000 CICERO AVE,MARIANO'S PHARMACY STORE #8517,MARIANO'S PHARMACY 53100517,40173006,KG1531517,11000 CICERO AVENUE,OAK LAWN,60453,IL,11000 CICERO AVE,MARIANO'S PHARMACY STORE #531517,NA,NA,NA,NA,NA,NA,NA,NA,NA,MARIANO'S PHARMACY STORE #517,KG1531517,40173006,11000 CICERO AVENUE,OAK LAWN,60453,IL,11000 CICERO AVE,MARIANO'S PHARMACY STORE #517,KG1531517,OAK LAWN,11000 CICERO AVE,IL,60453,FALSE,TRUE,TRUE,MARIANO'S PHARMACY STORE #517,TRUE,"11000 CICERO AVE OAK LAWN, IL 60453",-87.7417303,41.6932669
V09367,TRUE,60462,MARIANO'S 8535,9504 142ND ST,ORLAND PARK,IL,9504 142ND ST,MARIANO'S PHARMACY STORE #8535,MARIANO'S PHARMACY 53100535,40173024,KG1531535,9504 142ND ST,ORLAND PARK,60462,IL,9504 142ND ST,MARIANO'S PHARMACY STORE #531535,MARIANO PHARMACY 535,1307722677,V09367,9504 142ND ST,ORLAND PARK,IL,60462,9504 142ND ST,MARIANO PHARMACY STORE #535,MARIANO'S PHARMACY STORE #535,KG1531535,40173024,9504 142ND ST,ORLAND PARK,60462,IL,9504 142ND ST,MARIANO'S PHARMACY STORE #535,KG1531535,ORLAND PARK,9504 142ND ST,IL,60462,TRUE,TRUE,TRUE,MARIANO'S PHARMACY STORE #535,TRUE,"9504 142ND ST ORLAND PARK, IL 60462",-87.8521578,41.6336379
V09348,TRUE,60067,MARIANO'S 8505,545 N HICKS RD,PALATINE,IL,545 N HICKS RD,MARIANO'S PHARMACY STORE #8505,MARIANO'S PHARMACY 53100505,40172996,KG1531505,545 N. HICKS RD,PALATINE,60067,IL,545 N HICKS RD,MARIANO'S PHARMACY STORE #531505,MARIANO PHARMACY 505,1307653819,V09348,545 N HICKS RD,PALATINE,IL,60067,545 N HICKS RD,MARIANO PHARMACY STORE #505,MARIANO'S PHARMACY STORE #505,KG1531505,40172996,545 N. HICKS RD,PALATINE,60067,IL,545 N HICKS RD,MARIANO'S PHARMACY STORE #505,KG1531505,PALATINE,545 N HICKS RD,IL,60067,TRUE,TRUE,TRUE,MARIANO'S PHARMACY STORE #505,TRUE,"545 N HICKS RD PALATINE, IL 60067",-88.031876,42.1199166
V09359,TRUE,60068,MARIANO'S 8525,1900 S CUMBERLAND AVE,PARK RIDGE,IL,1900 S CUMBERLAND AVE,MARIANO'S PHARMACY STORE #8525,MARIANO'S PHARMACY 53100525,40173014,KG1531525,1900 S CUMBERLAND AVE,PARK RIDGE,60068,IL,1900 S CUMBERLAND AVE,MARIANO'S PHARMACY STORE #531525,MARIANO PHARMACY 525,1307668651,V09359,1900 S CUMBERLAND AVE,PARK RIDGE,IL,60068,1900 S CUMBERLAND AVE,MARIANO PHARMACY STORE #525,MARIANO'S PHARMACY STORE #525,KG1531525,40173014,1900 S CUMBERLAND AVE,PARK RIDGE,60068,IL,1900 S CUMBERLAND AVE,MARIANO'S PHARMACY STORE #525,KG1531525,PARK RIDGE,1900 S CUMBERLAND AVE,IL,60068,TRUE,TRUE,TRUE,MARIANO'S PHARMACY STORE #525,TRUE,"1900 S CUMBERLAND AVE PARK RIDGE, IL 60068",-87.83793779999999,41.9871968
V09361,TRUE,60154,MARIANO'S 8528,3020 WOLF ROAD,WESTCHESTER,IL,3020 WOLF RD,MARIANO'S PHARMACY STORE #8528,MARIANO'S PHARMACY 53100528,40173017,KG1531528,3020 WOLF RD,WESTCHESTER,60154,IL,3020 WOLF RD,MARIANO'S PHARMACY STORE #531528,MARIANO PHARMACY 528,1307720559,V09361,3020 WOLF RD,WESTCHESTER,IL,60154,3020 WOLF RD,MARIANO PHARMACY STORE #528,MARIANO'S PHARMACY STORE #528,KG1531528,40173017,3020 WOLF RD,WESTCHESTER,60154,IL,3020 WOLF RD,MARIANO'S PHARMACY STORE #528,KG1531528,WESTCHESTER,3020 WOLF RD,IL,60154,TRUE,TRUE,TRUE,MARIANO'S PHARMACY STORE #528,TRUE,"3020 WOLF RD WESTCHESTER, IL 60154",-87.89961129999999,41.8355069
V09273,TRUE,60411,OAK STREET HEALTH LINCOLN CROSSING,1401 WESTERN AVE,CHICAGO HEIGHTS,IL,1401 WESTERN AVE,OAK STREET HEALTH LINCOLN CROSSING,NA,NA,NA,NA,NA,NA,NA,NA,NA,OAK ST HEALTH LINCOLN CROSSING,1243705592,V09273,1401 WESTERN AVE,CHICAGO HEIGHTS,IL,60411,1401 WESTERN AVE,OAK ST HEALTH LINCOLN CROSSING,OAK STREET HEALTH CHICAGO HEIGHTS,ILAV09273A,40219023,1401 WESTERN AVE,CHICAGO HEIGHTS,60411,IL,1401 WESTERN AVE,OAK STREET HEALTH CHICAGO HEIGHTS,ILAV09273A,CHICAGO HEIGHTS,1401 WESTERN AVE,IL,60411,TRUE,TRUE,FALSE,OAK STREET HEALTH CHICAGO HEIGHTS,TRUE,"1401 WESTERN AVE CHICAGO HEIGHTS, IL 60411",-87.6737548,41.5055607
V05516,TRUE,60402,PCC SOUTH,6201 ROOSEVELT RD,BERWYN,IL,6201 ROOSEVELT RD,PCC SOUTH,PCC SOUTH FAM HLTH CTR,40273154,HR2HH0454,6201 ROOSEVELT RD,BERWYN,60402,IL,6201 ROOSEVELT RD,PCC SOUTH FAM HLTH CTR,PCC SOUTH FAMILY HEALTH CENTER,199262369,V05516,6201 ROOSEVELT RD,BERWYN,IL,60402,6201 ROOSEVELT RD,PCC SOUTH FAMILY HEALTH CENTER,PCC SOUTH FAMILY HEALTH CENTER,ILAV05516A,40204476,6201 ROOSEVELT RD,BERWYN,60402,IL,6201 ROOSEVELT RD,PCC SOUTH FAMILY HEALTH CENTER,ILAV05516A,BERWYN,6201 ROOSEVELT RD,IL,60402,TRUE,TRUE,TRUE,PCC SOUTH FAMILY HEALTH CENTER,TRUE,"6201 ROOSEVELT RD BERWYN, IL 60402",-87.7792925,41.8651005
V05817,TRUE,60160,PCC MELROSE PARK,1111 SUPERIOR ST,MELROSE PARK,IL,1111 SUPERIOR ST,PCC MELROSE PARK,PCC MELROSE PARK FAM HLTH CTR,40273153,HR2HH0453,1111 SUPERIOR ST STE 101,MELROSE PARK,60160,IL,1111 SUPERIOR ST,PCC MELROSE PARK FAM HLTH CTR,MELROSE PARK DIALYSIS,1351905328,V09882,1111 SUPERIOR ST,MELROSE PARK,IL,60160,1111 SUPERIOR ST,MELROSE PARK DIALYSIS,PCC MELROSE PARK FAMILY HEALTH CENTER,ILAV05817A,40204482,1111 SUPERIOR ST,MELROSE PARK,60160,IL,1111 SUPERIOR ST,PCC MELROSE PARK FAMILY HEALTH CENTER,ILAV05817A,MELROSE PARK,1111 SUPERIOR ST,IL,60160,TRUE,TRUE,TRUE,PCC MELROSE PARK FAMILY HEALTH CENTER,TRUE,"1111 SUPERIOR ST MELROSE PARK, IL 60160",-87.84783879999999,41.8929604
NA,TRUE,60803,PHYSICIANS IMMEDIATE CARE - ALSIP,4800 W 129TH ST,ALSIP,IL,4800 W 129TH ST,PHYSICIANS IMMEDIATE CARE - ALSIP,PHYSICIANS IMMEDIATE-ALSIP,40248309,ILAV09792,4800 W 129TH ST,ALSIP,60803,IL,4800 W 129TH ST,PHYSICIANS IMMEDIATE-ALSIP,NA,NA,NA,NA,NA,NA,NA,NA,NA,PHYSICIANS IMMEDIATE CARE ALSIP,ILAV09792A,40248309,4800 W 129TH ST,ALSIP,60803,IL,4800 W 129TH ST,PHYSICIANS IMMEDIATE CARE ALSIP,ILAV09792A,ALSIP,4800 W 129TH ST,IL,60803,FALSE,TRUE,TRUE,PHYSICIANS IMMEDIATE CARE ALSIP,TRUE,"4800 W 129TH ST ALSIP, IL 60803",-87.7390763,41.6579954
NA,TRUE,60007,PHYSICIANS IMMEDIATE CARE - ELK GROVE VILLAGE,1420 BUSSE RD,ELK GROVE VILLAGE,IL,1420 BUSSE RD,PHYSICIANS IMMEDIATE CARE - ELK GROVE VILLAGE,PHYSICIANS IMMEDIATE - ELK GROVE,40248304,ILAV09787,1420 BUSSE RD,ELK GROVE VILLAGE,60007,IL,1420 BUSSE RD,PHYSICIANS IMMEDIATE - ELK GROVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,PHYSICIANS IMMEDIATE CARE ELK GROVE VILLAGE,ILAV09787A,40248304,1420 BUSSE RD,ELK GROVE VILLAGE,60007,IL,1420 BUSSE RD,PHYSICIANS IMMEDIATE CARE ELK GROVE VILLAGE,ILAV09787A,ELK GROVE VILLAGE,1420 BUSSE RD,IL,60007,FALSE,TRUE,TRUE,PHYSICIANS IMMEDIATE CARE ELK GROVE VILLAGE,TRUE,"1420 BUSSE RD ELK GROVE VILLAGE, IL 60007",-87.96029539999999,42.0051868
NA,TRUE,60133,PHYSICIANS IMMEDIATE CARE - HANOVER PARK,7425 BARRINGTON RD,HANOVER PARK,IL,7425 BARRINGTON RD,PHYSICIANS IMMEDIATE CARE - HANOVER PARK,PHYSICIANS IMMEDIATE-HANOVER PARK,40248317,ILAV09900,7425 BARRINGTON RD,HANOVER PARK,60133,IL,7425 BARRINGTON RD,PHYSICIANS IMMEDIATE-HANOVER PARK,NA,NA,NA,NA,NA,NA,NA,NA,NA,PHYSICIANS IMMEDIATE CARE HANOVER PARK,ILAV09900A,40248317,7425 BARRINGTON RD,HANOVER PARK,60133,IL,7425 BARRINGTON RD,PHYSICIANS IMMEDIATE CARE HANOVER PARK,ILAV09900A,HANOVER PARK,7425 BARRINGTON RD,IL,60133,FALSE,TRUE,TRUE,PHYSICIANS IMMEDIATE CARE HANOVER PARK,TRUE,"7425 BARRINGTON RD HANOVER PARK, IL 60133",-88.1441404,42.006447
NA,TRUE,60714,PHYSICIANS IMMEDIATE CARE - NILES,8630 W GOLF RD,NILES,IL,8630 W GOLF RD,PHYSICIANS IMMEDIATE CARE - NILES,PHYSICIANS IMMEDIATE-NILES,40248331,ILAV09904,8630 W GOLF RD,NILES,60714,IL,8630 W GOLF RD,PHYSICIANS IMMEDIATE-NILES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ILAV09904,NILES,8630 W GOLF RD,IL,60714,FALSE,FALSE,TRUE,PHYSICIANS IMMEDIATE-NILES,TRUE,"8630 W GOLF RD NILES, IL 60714",-87.8421147,42.05500800000001
NA,TRUE,60706,PHYSICIANS IMMEDIATE CARE - NORRIDGE,4900 N CUMBERLAND AVE,NORRIDGE,IL,4900 N CUMBERLAND AVE,PHYSICIANS IMMEDIATE CARE - NORRIDGE,PHYSICIANS IMMEDIATE-NORRIDGE,40248332,ILAV09905,4900 N CUMBERLAND AVE,NORRIDGE,60706,IL,4900 N CUMBERLAND AVE,PHYSICIANS IMMEDIATE-NORRIDGE,NA,NA,NA,NA,NA,NA,NA,NA,NA,PHYSICIANS IMMEDIATE CARE NORRIDGE,ILAV09905A,40248332,4900 N CUMBERLAND AVE,NORRIDGE,60706,IL,4900 N CUMBERLAND AVE,PHYSICIANS IMMEDIATE CARE NORRIDGE,ILAV09905A,NORRIDGE,4900 N CUMBERLAND AVE,IL,60706,FALSE,TRUE,TRUE,PHYSICIANS IMMEDIATE CARE NORRIDGE,TRUE,"4900 N CUMBERLAND AVE NORRIDGE, IL 60706",-87.8371318,41.9687983
NA,TRUE,60467,PHYSICIANS IMMEDIATE CARE - ORLAND PARK,9570 W 159TH ST STE A,ORLAND PARK,IL,9570 W 159TH ST,PHYSICIANS IMMEDIATE CARE - ORLAND PARK,PHYSICIANS IMMEDIATE-ORLAND PARK,40248333,ILAV09906,9570 W 159TH ST STE A,ORLAND PARK,60467,IL,9570 W 159TH ST,PHYSICIANS IMMEDIATE-ORLAND PARK,NA,NA,NA,NA,NA,NA,NA,NA,NA,PHYSICIANS IMMEDIATE CARE ORLAND PARK,ILAV09906A,40248333,9570 W 159TH ST STE A,ORLAND PARK,60462,IL,9570 W 159TH ST,PHYSICIANS IMMEDIATE CARE ORLAND PARK,ILAV09906A,ORLAND PARK,9570 W 159TH ST,IL,60462,FALSE,TRUE,TRUE,PHYSICIANS IMMEDIATE CARE ORLAND PARK,TRUE,"9570 W 159TH ST ORLAND PARK, IL 60462",-87.8519828,41.6020011
NA,TRUE,60068,PHYSICIANS IMMEDIATE CARE - PARK RIDGE,123 S NORTHWEST HWY,PARK RIDGE,IL,123 S NORTHWEST HWY,PHYSICIANS IMMEDIATE CARE - PARK RIDGE,PHYSICIANS IMMEDIATE-PARK RIDGE,40248199,ILAV09908,123 S NORTHWEST HWY,PARK RIDGE,60068,IL,123 S NORTHWEST HWY,PHYSICIANS IMMEDIATE-PARK RIDGE,PHYSICIANS IMMEDIATE-PARK RIDGE,1342140831,V09908,123 S NORTHWEST HWY,PARK RIDGE,IL,60068,123 S NORTHWEST HWY,PHYSICIANS IMMEDIATE-PARK RIDGE,PHYSICIANS IMMEDIATE CARE PARK RIDGE,ILAV09908A,40248199,123 S NORTHWEST HWY,PARK RIDGE,60068,IL,123 S NORTHWEST HWY,PHYSICIANS IMMEDIATE CARE PARK RIDGE,ILAV09908A,PARK RIDGE,123 S NORTHWEST HWY,IL,60068,TRUE,TRUE,TRUE,PHYSICIANS IMMEDIATE CARE PARK RIDGE,TRUE,"123 S NORTHWEST HWY PARK RIDGE, IL 60068",-87.8269212,42.0098535
NA,TRUE,60439,PLUMBER'S LOCAL 130 US WELLNESS CENTER,15900 W 127TH ST STE 221A,LEMONT,IL,15900 W 127TH ST 221A,PLUMBER'S LOCAL 130 US WELLNESS CENTER,NA,NA,NA,NA,NA,NA,NA,NA,NA,PLUMBERS WELLNESS CENTER,1351684692,V09925,15900 W 127TH ST,LEMONT,IL,60439,15900 W 127TH ST,PLUMBERS WELLNESS CENTER,PLUMBERS LOCAL 130 US WELLNESS CENTER,ILAV09925A,40255563,15900 W 127TH ST STE 221A,LEMONT,60439,IL,15900 W 127TH ST 221A,PLUMBERS LOCAL 130 US WELLNESS CENTER,ILAV09925A,LEMONT,15900 W 127TH ST 221A,IL,60439,TRUE,TRUE,FALSE,PLUMBERS LOCAL 130 US WELLNESS CENTER,TRUE,"15900 W 127TH ST 221A LEMONT, IL 60439",-88.0074887,41.6549641
V02795,TRUE,60546,RUSH NORTH RIVERSIDE,7222 W CERMAK RD STE 700,NORTH RIVERSIDE,IL,7222 W CERMAK RD,RUSH NORTH RIVERSIDE,RUSH OAK PARK PG NORTH RIVERSIDE,40255433,ILAV09915,7222 W CERMAK RD STE 700,NORTH RIVERSIDE,60546,IL,7222 W CERMAK RD,RUSH OAK PARK PG NORTH RIVERSIDE,NA,NA,NA,NA,NA,NA,NA,NA,NA,RUSH OAK PARK PG NORTH RIVERSIDE,ILAV09915A,40255433,7222 W CERMAK RD STE 700,NORTH RIVERSIDE,60546,IL,7222 W CERMAK RD,RUSH OAK PARK PG NORTH RIVERSIDE,ILAV09915A,NORTH RIVERSIDE,7222 W CERMAK RD,IL,60546,FALSE,TRUE,TRUE,RUSH OAK PARK PG NORTH RIVERSIDE,TRUE,"7222 W CERMAK RD NORTH RIVERSIDE, IL 60546",-87.80532459999999,41.8507584
NA,TRUE,60415,STAR-CARE FAMILY WELLNESS,9830 RIDGELAND AVE STE 9A,CHICAGO RIDGE,IL,9830 RIDGELAND AVE,STAR-CARE FAMILY WELLNESS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,STAR-CARE FAMILY WELLNESS CHICAGO RIDGE,ILAV10036A,40269508,9830 RIDGELAND AVE STE 9A,CHICAGO RIDGE,60415,IL,9830 RIDGELAND AVE,STAR-CARE FAMILY WELLNESS CHICAGO RIDGE,ILAV10036A,CHICAGO RIDGE,9830 RIDGELAND AVE,IL,60415,FALSE,TRUE,FALSE,STAR-CARE FAMILY WELLNESS CHICAGO RIDGE,TRUE,"9830 RIDGELAND AVE CHICAGO RIDGE, IL 60415",-87.7804245,41.7129314
NA,TRUE,60107,WALGREENS STORE 3727,13 E IRVING PARK RD,STREAMWOOD,IL,13 E IRVING PARK RD,WALGREENS PHARMACY STORE #3727,WALGREEN DRUG STORE,40177826,WG1003927,13 E IRVING PARK RD,STREAMWOOD,60107,IL,13 E IRVING PARK RD,WALGREENS PHARMACY STORE #3927,WALGREEN CO. STORE # 3927,192811677,NA,13 E IRVING PARK RD,STREAMWOOD,IL,60107,13 E IRVING PARK RD,"	
WALGREEN PHARMACY STORE #3927",WALGREENS PHARMACY STORE #3927,WG1003927,40177826,13 E IRVING PARK RD,STREAMWOOD,60107,IL,13 E IRVING PARK RD,WALGREENS PHARMACY STORE #3927,WG1003927,STREAMWOOD,13 E IRVING PARK RD,IL,60107,TRUE,TRUE,TRUE,WALGREENS PHARMACY STORE #3927,TRUE,"13 E IRVING PARK RD STREAMWOOD, IL 60107",-88.1818637,42.0126734
V03236,FALSE,60546,CCH - NORTH RIVERSIDE,1800 S HARLEM AVE,NORTH RIVERSIDE,IL,1800 S HARLEM AVE,CCH - NORTH RIVERSIDE,NA,NA,NA,NA,NA,NA,NA,NA,NA,CCHHS - CICERO,612,V03236,1800 HARLEM AVE,NORTH RIVERSIDE,IL,60546,1800 HARLEM AVE,CCHHS - CICERO,NORTH RIVERSIDE HEALTH CENTER,ILAV03236A,40216980,1800 HARLEM AVE STE A,RIVERSIDE,60130,IL,1800 HARLEM AVE,NORTH RIVERSIDE HEALTH CENTER,ILAV03236A,RIVERSIDE,1800 HARLEM AVE,IL,60130,TRUE,TRUE,FALSE,NORTH RIVERSIDE HEALTH CENTER,TRUE,"1800 HARLEM AVE RIVERSIDE, IL 60130",-87.8053927,41.8556212
V02073,FALSE,60472,CCH - ROBBINS,13450 S KEDZIE AVE,ROBBINS,IL,13450 S KEDZIE AVE,CCH - ROBBINS,NA,NA,NA,NA,NA,NA,NA,NA,NA,CCHHS - ROBBINS,97475065,V02073,13450 S KEDZIE AVE,ROBBINS,IL,60472,13450 S KEDZIE AVE,CCHHS - ROBBINS,ROBBINS HEALTH CENTER,ILAV02073A,40215363,1901 W HARRISON ST,CHICAGO,60612,IL,1901 W HARRISON ST,ROBBINS HEALTH CENTER,ILAV02073A,CHICAGO,1901 W HARRISON ST,IL,60612,TRUE,TRUE,FALSE,ROBBINS HEALTH CENTER,TRUE,"1901 W HARRISON ST CHICAGO, IL 60612",-87.6743711,41.87361689999999
V09084,TRUE,60068,ADVOCATE LUTHERAN GENERAL,1775 DEMPSTER ST,PARK RIDGE,IL,1775 DEMPSTER ST,ADVOCATE LUTHERAN GENERAL,ADVOCATE LUTHERAN GENERAL,40203212,ILAV09084,1775 W DEMPSTER ST,PARK RIDGE,60068,IL,1775 W DEMPSTER ST,ADVOCATE LUTHERAN GENERAL,ADVOCATE LUTHERAN GENERAL,1335185639,V09084,1775 DEMPSTER ST,PARK RIDGE,IL,60068,1775 DEMPSTER ST,ADVOCATE LUTHERAN GENERAL,ADVOCATE LUTHERAN GENERAL HOSPITAL,ILAV09084A,40203212,1775 W DEMPSTER ST,PARK RIDGE,60068,IL,1775 W DEMPSTER ST,ADVOCATE LUTHERAN GENERAL HOSPITAL,ILAV09084A,PARK RIDGE,1775 W DEMPSTER ST,IL,60068,TRUE,TRUE,TRUE,ADVOCATE LUTHERAN GENERAL HOSPITAL,TRUE,"1775 W DEMPSTER ST PARK RIDGE, IL 60068",-87.847611,42.0384783
